epochs,train_loss,train_accuracy,validation_loss,validation_accuracy
1,3.83334272750225,0.04469009080142124,3.764473010169135,0.04888888888888889
2,3.6867605575044964,0.06848795894196605,3.6666035419040255,0.06888888888888889
3,3.5996733740050946,0.08573233320173707,3.5433645174238415,0.10888888888888888
4,3.522121080006247,0.09988156336360048,3.4788995922936334,0.10666666666666667
5,3.4549390198955696,0.11215159889459139,3.45605022960239,0.11777777777777777
6,3.3833900404296466,0.1251006711409396,3.409331561194526,0.13111111111111112
7,3.323115601500079,0.13738649822345045,3.3162066671583386,0.15555555555555556
8,3.2650312785635434,0.14807737860244768,3.2964225917392307,0.12444444444444444
9,3.2129618758680882,0.15859455191472563,3.2228347078959145,0.15777777777777777
10,3.1702190865916884,0.16991709435452032,3.1714954450395374,0.1622222222222222
11,3.1280227955442808,0.1771969996052112,3.1375457127888997,0.15777777777777777
12,3.09173251524397,0.18348203711014607,3.1158084297180175,0.16
13,3.0557938873104273,0.19229372285827082,3.0818901930914984,0.17555555555555555
14,3.0249770104550957,0.19797868140544808,3.151143684387207,0.1622222222222222
15,2.999717353089638,0.2013738649822345,2.995300611919827,0.18222222222222223
16,2.970976191865941,0.2108487958941966,2.937212109035916,0.2311111111111111
17,2.9427161723278843,0.21566521910777733,2.9530908203125,0.2
18,2.917731910819269,0.22365574417686537,3.015171223746406,0.2222222222222222
19,2.8919849248540483,0.2265771812080537,2.9410633171929255,0.23555555555555555
20,2.867458603938389,0.23365179628898539,2.9512226857079398,0.21555555555555556
21,2.844851397477823,0.23362021318594553,2.9341387367248535,0.2288888888888889
22,2.8178056366548114,0.24096328464271616,2.94948733859592,0.19333333333333333
23,2.794358968900401,0.24878010264508488,2.9059541077084012,0.24
24,2.769958438579621,0.2527911567311488,2.838360433578491,0.24888888888888888
25,2.750899954098183,0.25522305566521913,2.8481738800472685,0.2288888888888889
26,2.7375338354799714,0.26024476904855903,2.9322373644510904,0.2
27,2.715265924910806,0.26338728780102644,2.8836102146572538,0.2311111111111111
28,2.6968231840129904,0.267998420844848,2.788421228196886,0.25555555555555554
29,2.674267275562128,0.2731780497433873,2.809971276389228,0.2511111111111111
30,2.662712232207198,0.27556257402289774,2.7892841943105062,0.2511111111111111
