epochs,train_loss,train_accuracy,validation_loss,validation_accuracy
1,3.8350586015096635,0.04093170153967627,3.7852142545912,0.044444444444444446
2,3.7028744015541184,0.06248716936439005,3.666214565700955,0.08666666666666667
3,3.616259121685879,0.08123174101855507,3.5641624132792153,0.07333333333333333
4,3.524459868004517,0.09708645874457165,3.512997261683146,0.09777777777777778
5,3.4474653596535436,0.11148835373075405,3.403555959065755,0.13555555555555557
6,3.3694477854177878,0.12693249111725227,3.3636531162261964,0.12666666666666668
7,3.305178335365268,0.1386971969996052,3.3154718589782717,0.16
8,3.252082695774631,0.1490722463482037,3.2991727468702527,0.12666666666666668
9,3.2026674827172075,0.1577733912356889,3.227933491600884,0.15333333333333332
10,3.168211602791938,0.1666008685353336,3.179249698850844,0.16
11,3.1196909940699276,0.1772759573628109,3.1664798927307127,0.1622222222222222
12,3.0794032668464983,0.183750493485985,3.1248743142022026,0.1711111111111111
13,3.05248932626847,0.19253059613106988,3.1232616382175022,0.17555555555555555
14,3.02008204628063,0.19572048953809712,3.0839219432406955,0.18444444444444444
15,2.983588057675006,0.20348993288590603,3.016849472257826,0.19777777777777777
16,2.9524001489737923,0.21310698776154757,3.0200752194722496,0.20444444444444446
17,2.9262923435801533,0.21724437425977103,2.9550151030222573,0.20444444444444446
18,2.900725156883454,0.22240821160679036,2.9893219969007703,0.19333333333333333
19,2.8828004111031325,0.22618239242005528,2.9048853068881564,0.21555555555555556
20,2.8533832459425295,0.230998815633636,2.8546815745035805,0.22666666666666666
21,2.8342480068605878,0.23919463087248322,2.8974986500210234,0.22444444444444445
22,2.8039761939766,0.24336360047374656,2.9113223425547283,0.21555555555555556
23,2.795771602844467,0.24663245163837347,2.920891524420844,0.2222222222222222
24,2.7617589782228404,0.2514172917489143,2.9303695095909967,0.2311111111111111
25,2.7550272993508695,0.252254243979471,2.7576636589898005,0.23555555555555555
26,2.7355014989237705,0.2579707856296881,2.8025789144304065,0.2644444444444444
27,2.715377389886753,0.2624240031583103,2.745592974556817,0.24222222222222223
28,2.704984821860987,0.2643347808922227,2.789724325603909,0.23777777777777778
29,2.6798463753754094,0.26911962100276354,2.7896736579471164,0.24444444444444444
30,2.675234629510186,0.27196210027635215,2.739520147111681,0.2577777777777778
