epochs,train_loss,train_accuracy,validation_loss,validation_accuracy
1,3.9140180863441802,0.022155546782471378,3.892919913397895,0.03111111111111111
2,3.9038213548272482,0.02310303987366759,3.8850822713640003,0.024444444444444446
3,3.8910939966978124,0.02758784050532965,3.8539755948384604,0.042222222222222223
4,3.8680741748930294,0.03316225819186735,3.8585779391394723,0.03777777777777778
5,3.847941754653997,0.03734701934465061,3.849247434404161,0.051111111111111114
6,3.832308209408332,0.04159494670351362,3.820529481040107,0.042222222222222223
7,3.8224480529608953,0.043000394788788,3.8257799339294434,0.04666666666666667
8,3.8143401412271105,0.045100671140939595,3.8016969119177926,0.03333333333333333
9,3.8067491086499756,0.046727200947493094,3.791809960471259,0.042222222222222223
10,3.799524041758288,0.04821160679036715,3.788871941036648,0.05555555555555555
11,3.795127541101172,0.049964469009080144,3.801953944100274,0.042222222222222223
12,3.7904828443274967,0.05190682984603237,3.7765186405181885,0.04888888888888889
13,3.7873942532183573,0.053470193446506116,3.7970372263590493,0.04888888888888889
14,3.7770040797358955,0.05451243584682195,3.7575876575046117,0.05555555555555555
15,3.7709943934123222,0.05672325305961311,3.7653727255927194,0.05555555555555555
16,3.7682693356221435,0.05760757994472957,3.752006615532769,0.05333333333333334
17,3.7616201251474615,0.05860244769048559,3.782632909350925,0.035555555555555556
18,3.758056869597196,0.05920252664824319,3.7365028635660806,0.05555555555555555
19,3.7513831003221467,0.06166600868535334,3.7516567622290715,0.06444444444444444
20,3.747473080895232,0.06300829056454797,3.7609575430552167,0.06
21,3.7465927717650875,0.061871298855112514,3.7275637997521294,0.07111111111111111
22,3.740908037920597,0.06213975523095144,3.727575418684218,0.07111111111111111
23,3.733093911949185,0.06450848795894197,3.754662948184543,0.06
24,3.7312699383367818,0.06550335570469798,3.7530111005571154,0.04666666666666667
25,3.72986811247448,0.06477694433478089,3.7406666066911485,0.06666666666666667
26,3.72253293426339,0.06746150809317016,3.756287860870361,0.06888888888888889
27,3.7196972073654013,0.06695617844453218,3.7221485890282526,0.06
28,3.720533591973372,0.06705092775365179,3.735417298210992,0.07111111111111111
29,3.710899990765511,0.06801421239636794,3.7236441548665367,0.07111111111111111
30,3.707695936168365,0.06962495065140151,3.7248472531636554,0.07777777777777778
