epochs,train_loss,train_accuracy,validation_loss,validation_accuracy
1,3.9080960848507464,0.023703118831425188,3.8804595216115314,0.035555555555555556
2,3.8850764131790747,0.02897749703908409,3.869704824023777,0.03333333333333333
3,3.8775024439137393,0.03286221871298855,3.8668245612250436,0.042222222222222223
4,3.8675860747056094,0.034551914725621795,3.8425384595659042,0.04
5,3.8569593600722296,0.03706277141729175,3.8198129092322457,0.05555555555555555
6,3.847239651538805,0.03988945913936044,3.804528948465983,0.06
7,3.8424017433418007,0.04157915515199368,3.8379684755537244,0.04
8,3.8326840214403637,0.042131859455191475,3.818656373553806,0.022222222222222223
9,3.8277693715568026,0.04285827082510857,3.8142931440141465,0.04888888888888889
10,3.8239340982764687,0.0431741018555073,3.8049560568067764,0.05555555555555555
11,3.8208395291052457,0.04337939202526648,3.8050143994225394,0.04888888888888889
12,3.818140692159304,0.04443742597710225,3.8128225421905517,0.044444444444444446
13,3.81331358592594,0.045969206474536124,3.8114983929528132,0.042222222222222223
14,3.809972672370221,0.04552704303197789,3.7854464552137586,0.06
15,3.8103975630841895,0.04589024871693644,3.7981314023335773,0.05333333333333334
16,3.8096543015804962,0.04500592183181998,3.7996622117360435,0.04666666666666667
17,3.806998597663521,0.04753257007500987,3.798730568355984,0.042222222222222223
18,3.8071018185862147,0.046300829056454794,3.8344635264078777,0.051111111111111114
19,3.8042045129752657,0.04658507698381366,3.7693453725179036,0.05555555555555555
20,3.8053410836184773,0.0484011054086064,3.780183147854275,0.04666666666666667
21,3.8043834353679262,0.04614291354125543,3.7915688218010795,0.04888888888888889
22,3.8000736079308246,0.04772206869324911,3.7869375122918023,0.051111111111111114
23,3.8031896463402446,0.04716936439005132,3.791475619210137,0.044444444444444446
24,3.797233123952487,0.04863797868140545,3.823266208436754,0.04666666666666667
25,3.7996941654154117,0.04757994472956968,3.753832819196913,0.05555555555555555
26,3.7949194055746256,0.048795894196604815,3.787856430477566,0.05333333333333334
27,3.796299706642401,0.04833793920252665,3.7868066141340466,0.05555555555555555
28,3.795344559134488,0.04908014212396368,3.758046238157484,0.057777777777777775
29,3.7924217683865153,0.049664429530201344,3.7866310437520343,0.06666666666666667
30,3.7923960405576382,0.04961705487564153,3.7780456076727975,0.06
