epochs,train_loss,train_accuracy,validation_loss,validation_accuracy
1,3.8367355979576065,0.037868140544808526,3.7592503696017796,0.04
2,3.723553299672322,0.05514409790761942,3.6693788062201604,0.07111111111111111
3,3.6327344288056045,0.07224634820371101,3.614821677737766,0.06666666666666667
4,3.5630070992999525,0.08541650217133834,3.504485631518894,0.10222222222222223
5,3.5043090500626413,0.09812870114488749,3.4923984962039523,0.11555555555555555
6,3.446670434596366,0.10877220686932491,3.473370084762573,0.1288888888888889
7,3.39729905104383,0.11745756020529018,3.382628181245592,0.13333333333333333
8,3.342267093982237,0.1294749309119621,3.316046290927463,0.11777777777777777
9,3.303140058965491,0.13620213185945518,3.2954193051656087,0.11777777777777777
10,3.2592360181089357,0.1461034346624556,3.3025004535251195,0.13777777777777778
11,3.218127592755456,0.15407816818002368,3.2783128939734567,0.15777777777777777
12,3.1779705323054768,0.16318989340702725,3.233672875298394,0.15777777777777777
13,3.141814370789737,0.17176470588235293,3.146997807820638,0.20444444444444446
14,3.1049710596591362,0.17800236873272798,3.114799378712972,0.16666666666666666
15,3.070739362605984,0.18558231346229767,3.0865803972880044,0.18666666666666668
16,3.042043965294857,0.19079352546387682,3.017551145553589,0.20222222222222222
17,3.0110494224497137,0.1949467035136202,3.024425859451294,0.17777777777777778
18,2.991876319376226,0.20135807343071457,3.020870648490058,0.21555555555555556
19,2.965696246651289,0.20710619818397158,2.994778018527561,0.18
20,2.9369709296439224,0.21391235688906435,2.9494493781195747,0.19555555555555557
21,2.923398493798034,0.21509672325305962,3.0239219284057617,0.2088888888888889
22,2.902034214944459,0.22059218318199764,2.893724916246202,0.21777777777777776
23,2.8759573367608664,0.22531385708645874,2.9795029883914523,0.19111111111111112
24,2.868444700195909,0.22869324911172523,2.9094065814548067,0.20444444444444446
25,2.8479120698786518,0.22913541255428346,2.857769898308648,0.21555555555555556
26,2.832339194411117,0.23676273193841296,2.874293729994032,0.2311111111111111
27,2.813814474099058,0.24078957757599684,2.8004207515716555,0.24222222222222223
28,2.800708007266575,0.24018949861823924,2.8593846649593777,0.23333333333333334
29,2.7841280922285425,0.2455744176865377,2.8064248413509794,0.23555555555555555
30,2.7656121689653,0.24914330833004342,2.750305338965522,0.2644444444444444
