epochs,train_loss,train_accuracy,validation_loss,validation_accuracy
1,3.879880454831099,0.034251875246742995,3.757007369995117,0.04888888888888889
2,3.7311478329796683,0.05329648637978682,3.6985039785173206,0.06666666666666667
3,3.652863568100024,0.06954599289380181,3.615976950327555,0.07555555555555556
4,3.582061059701786,0.08134228187919464,3.587204730775621,0.08666666666666667
5,3.5158217234071234,0.09520726411369917,3.4513836934831406,0.07333333333333333
6,3.4436013143654636,0.10943545203316225,3.396360282897949,0.12
7,3.3768019987686886,0.12078957757599684,3.3703961096869577,0.13111111111111112
8,3.3149553876011635,0.13558626135017765,3.2882400523291695,0.11333333333333333
9,3.2628134842084604,0.14450848795894197,3.2448481962415907,0.1288888888888889
10,3.2278940677454573,0.15216739044611133,3.234203593995836,0.13555555555555557
11,3.1785505968132277,0.16216344255823134,3.1435382111867267,0.1622222222222222
12,3.140788262796835,0.17255428345834978,3.15240229288737,0.15555555555555556
13,3.106979014595836,0.17579155151993683,3.137195994059245,0.16444444444444445
14,3.0743080758351935,0.183245163837347,3.115495645734999,0.14888888888888888
15,3.043565371329258,0.1931464666403474,3.0001864539252385,0.18444444444444444
16,3.009087386889934,0.199494670351362,3.014677890141805,0.21333333333333335
17,2.983761817210755,0.20547966837741807,2.9765451049804685,0.1688888888888889
18,2.956374630180687,0.2111488353730754,2.9613574377695717,0.19111111111111112
19,2.9382524720247303,0.2140702724042637,2.9015276622772217,0.18666666666666668
20,2.9083014745859117,0.21948677457560206,2.9087810876634386,0.20222222222222222
21,2.889832208914292,0.22384524279510462,2.9798464298248293,0.20222222222222222
22,2.8693850316937337,0.23000394788787998,2.9033769554562037,0.21333333333333335
23,2.8432666298639995,0.23273588630082906,2.8454891194237604,0.21777777777777776
24,2.8314219349380356,0.23632056849585473,2.8286980215708413,0.24
25,2.8227870603479324,0.23745756020529016,2.8383265251583523,0.2288888888888889
26,2.796653544628898,0.24341097512830637,2.8148634253607856,0.22
27,2.772798491578492,0.24926964074220292,2.8137904580434165,0.23555555555555555
28,2.7645693119137924,0.2515278326095539,2.7710621494717067,0.26
29,2.752316953235119,0.25400710619818395,2.7751027573479545,0.23777777777777778
30,2.7353589102725855,0.2603711014607185,2.834486281077067,0.25555555555555554
