epochs,train_loss,train_accuracy,validation_loss,validation_accuracy
1,3.8151763904118225,0.0439005132254244,3.7254592174953887,0.051111111111111114
2,3.6786286180347876,0.06850375049348599,3.6363803577423095,0.06888888888888889
3,3.5783276029918865,0.08909593367548362,3.5540295293596054,0.09333333333333334
4,3.4721224213700683,0.10711409395973154,3.442761803732978,0.1111111111111111
5,3.376309569020352,0.12652191077773392,3.3543771404690212,0.14444444444444443
6,3.2968266652141502,0.14149230161863402,3.3233203050825333,0.11555555555555555
7,3.229573356385199,0.153999210422424,3.2372308752271866,0.14222222222222222
8,3.175145069620047,0.1666008685353336,3.133421809938219,0.1711111111111111
9,3.1250370510303123,0.17587050927753653,3.121378467347887,0.18
10,3.0834919266073872,0.18454007106198184,3.051949666341146,0.2088888888888889
11,3.043858087775362,0.19106198183971576,3.1043442228105333,0.1711111111111111
12,3.0107797397081906,0.19846821950256613,3.104467190636529,0.18222222222222223
13,2.9744096712345103,0.20626924595341492,3.0505300013224286,0.18444444444444444
14,2.9410582781270986,0.2133754441373865,2.9569675975375707,0.22666666666666666
15,2.917197592490942,0.219249901302803,2.951679988437229,0.20666666666666667
16,2.8766194351059244,0.226750888274773,2.9116726398468016,0.21777777777777776
17,2.8576147894063015,0.23030398736675878,2.908321975072225,0.2222222222222222
18,2.821707780554132,0.23812080536912753,2.910810048845079,0.24
19,2.796470901822084,0.24500592183182,2.8864251285129123,0.23555555555555555
20,2.7814126205783185,0.24854322937228582,2.822985119289822,0.2688888888888889
21,2.7524845685970156,0.2545913936044216,2.833695037629869,0.2088888888888889
22,2.72480575308892,0.2601500197394394,2.7501371733347573,0.24
23,2.7092660788345184,0.26240821160679034,2.7824563333723282,0.24888888888888888
24,2.691649876250799,0.26938807737860243,2.6817831187778047,0.24
25,2.677020622175106,0.27174101855507304,2.770866264767117,0.24
26,2.654907620381424,0.27663639952625346,2.7653335772620307,0.2222222222222222
27,2.6499897597554263,0.2783260955388867,2.7783408302730983,0.25555555555555554
28,2.640747766366741,0.2818002368732728,2.7641607316335044,0.25555555555555554
29,2.616799375087529,0.2859060402684564,2.6792307069566514,0.27555555555555555
30,2.6042835475765007,0.28963284642716147,2.730443900426229,0.27555555555555555
