epochs,train_loss,train_accuracy,validation_loss,validation_accuracy
1,3.9035503542079693,0.025361231741018554,3.8977616882324218,0.028888888888888888
2,3.866869108988464,0.03276746940386893,3.892613535987006,0.03777777777777778
3,3.843426612390156,0.03785234899328859,3.8643289375305176,0.03777777777777778
4,3.820034798487721,0.044469009080142126,3.8222479322221545,0.04666666666666667
5,3.7835989162002304,0.05530201342281879,3.786036526362101,0.057777777777777775
6,3.7471668255493853,0.0614765100671141,3.7690061865912545,0.06
7,3.7238675150474068,0.06480852743782077,3.693032143910726,0.06888888888888889
8,3.707646137419022,0.06828266877220687,3.689830066892836,0.06444444444444444
9,3.6936523359376263,0.07076194236083695,3.6787505594889325,0.07111111111111111
10,3.6835630901538474,0.07313067508882748,3.6886265256669786,0.06666666666666667
11,3.673003313310806,0.07527832609553889,3.6793982558780245,0.08888888888888889
12,3.6638617821244255,0.07711014607185156,3.669537351396349,0.05555555555555555
13,3.6610858986625265,0.07632056849585472,3.640469218360053,0.06444444444444444
14,3.648023862868865,0.07914725621792341,3.6518303638034397,0.08222222222222222
15,3.6386374101251,0.08154757204895381,3.658899088965522,0.07777777777777778
16,3.63373722086205,0.08146861429135413,3.6514202467600505,0.06444444444444444
17,3.6258116385779546,0.08439005132254244,3.65983185450236,0.07777777777777778
18,3.6200172960000505,0.08499013028030004,3.6493688858879936,0.07111111111111111
19,3.6112034349934743,0.08675878405053296,3.6044870217641196,0.09111111111111111
20,3.605881156239922,0.08781681800236874,3.620602142545912,0.08444444444444445
21,3.6053978692614606,0.08901697591788393,3.6198192416297066,0.08444444444444445
22,3.601225933785783,0.08950651401500197,3.631169336107042,0.1
23,3.5970924234183186,0.08961705487564153,3.5870796542697483,0.08
24,3.592070136260384,0.09001184366363996,3.6074220477210153,0.08888888888888889
25,3.585730882588931,0.09271219897354915,3.601791990068224,0.08
26,3.5818220962143394,0.0927753651796289,3.58677028020223,0.08222222222222222
27,3.5778674702431625,0.09367548361626529,3.5851667594909666,0.08444444444444445
28,3.5760372625600194,0.09438610343466246,3.6301980262332494,0.08666666666666667
29,3.5769516636795364,0.09305961310698777,3.620736082924737,0.07777777777777778
30,3.568713233486918,0.09536517962889854,3.5478764226701522,0.09111111111111111
