epochs,train_loss,train_accuracy,validation_loss,validation_accuracy
1,3.6528827832858646,0.07463087248322148,4.235499199761285,0.044444444444444446
2,3.3814083031406996,0.12075799447295697,4.192958970599705,0.06888888888888889
3,3.208890208727373,0.15229372285827084,3.606523569954766,0.10444444444444445
4,3.0600974466336655,0.18303987366758784,3.5237499607933893,0.10888888888888888
5,2.9196512027790176,0.21160679036715357,3.9972207927703858,0.07333333333333333
6,2.7788612892069553,0.23966837741808134,3.8849685880872937,0.12666666666666668
7,2.6639642706229854,0.2656770627714173,5.945094973246256,0.03111111111111111
8,2.5650001897258434,0.28871693643900515,3.1503955141703286,0.19777777777777777
9,2.468938475415681,0.31123568890643505,3.465734280480279,0.17333333333333334
10,2.384118620499386,0.33159099881563364,4.603363819122315,0.09333333333333334
11,2.3002047599223214,0.3508566916699566,3.2704364278581406,0.18
12,2.2248078622979888,0.3714488748519542,2.2660547627343073,0.3622222222222222
13,2.1635187515288155,0.3863245163837347,2.541154850853814,0.2822222222222222
14,2.095225268792033,0.4018318199763127,2.8592977258894177,0.28888888888888886
15,2.041466084283376,0.41515988945913934,2.9478657913208006,0.24444444444444444
16,1.9905829267505597,0.4308409001184366,2.6304456011454262,0.28
17,1.9350380642443272,0.4430477694433478,2.536381817923652,0.31555555555555553
18,1.8890722389462151,0.45407027240426373,2.393479584587945,0.3466666666666667
19,1.845329559027231,0.46626135017765497,1.9512591457366943,0.4488888888888889
20,1.8113046657074312,0.47771022502960914,2.91235331747267,0.2577777777777778
21,1.7655759002735998,0.4861271219897355,2.4361614916059704,0.35777777777777775
22,1.7400611657320724,0.49274378207658903,2.9417876688639324,0.26222222222222225
23,1.7110338654727084,0.5000394788787998,2.3340329212612576,0.37333333333333335
24,1.681740862917533,0.5062929332806948,2.2366007656521267,0.3844444444444444
25,1.6549079523941204,0.5155783655744177,3.300550750096639,0.19555555555555557
26,1.63129794499171,0.521484405842874,2.2507377825842965,0.3888888888888889
27,1.5951765735602124,0.5332017370706672,2.0344142945607504,0.43777777777777777
28,1.578388049012345,0.5358547177260166,1.9332680543263754,0.4688888888888889
29,1.5526226551712523,0.5423450454007106,2.1124385966195,0.3711111111111111
30,1.5347772199534353,0.5456612712198974,2.230739699469672,0.3888888888888889
31,1.5167761693638961,0.5531622581918674,2.3412612130906845,0.3844444444444444
32,1.4947241657805264,0.5580418476115279,1.9301495006349352,0.44222222222222224
33,1.478379618275368,0.5622266087643111,1.9928906594382392,0.4311111111111111
34,1.4663649424666998,0.5664745361231741,1.962551270061069,0.4288888888888889
35,1.434594806228002,0.5742281879194631,2.0916613748338486,0.42444444444444446
36,1.417397596255339,0.5787919463087249,2.5386184215545655,0.36444444444444446
37,1.408275571831403,0.5812870114488748,1.9423006327946981,0.46
38,1.3881576378694693,0.5870509277536518,2.035229116545783,0.4444444444444444
39,1.3846108822534549,0.5871456770627714,2.1611995357937284,0.45111111111111113
40,1.3585939504937414,0.5946308724832214,2.111768616570367,0.39555555555555555
41,1.3342516942161653,0.6015317804974338,1.8959317212634617,0.48
42,1.3447056231478012,0.5973786024476905,3.00571929719713,0.3288888888888889
43,1.3159215631778656,0.6050217133833399,2.0122983662287393,0.4288888888888889
44,1.3082380675008256,0.6088116857481247,2.10882276640998,0.42
45,1.2992002098126416,0.6096960126332412,2.4077147314283582,0.39111111111111113
46,1.2920359940628643,0.6138491906829846,1.9951401212480333,0.4666666666666667
47,1.2613735362093204,0.6215870509277537,2.235485226313273,0.44
48,1.2601261716975178,0.6210185550730359,1.8266223149829441,0.4866666666666667
49,1.247149143715974,0.6242084484800632,2.106769938998752,0.4288888888888889
50,1.2326304819138683,0.630240821160679,2.2839362907409666,0.3622222222222222
